time,percent of points contained
0.0,100.0
0.05,50.4
0.1,75.1
0.15,63.800003
0.2,55.9
0.25,48.5
0.3,46.5
0.35,48.5
0.4,51.1
0.45000002,53.899998
0.5,58.1
0.55,65.5
0.6,72.7
0.65,79.4
0.7,87.2
0.75,92.0
0.8,96.4
0.85,99.0
0.90000004,99.6
0.95,100.0
1.0,100.0
1.05,100.0
1.1,100.0
1.15,100.0
1.2,100.0
1.25,100.0
1.3000001,100.0
1.35,100.0
1.4000001,100.0
1.45,100.0
1.5,100.0
1.5500001,100.0
1.6,100.0
1.65,100.0
1.7,100.0
1.75,100.0
1.8000001,100.0
1.85,100.0
1.9,100.0
1.95,100.0
2.0,100.0
2.05,100.0
2.1,100.0
2.15,100.0
2.2,100.0
2.25,100.0
2.3,100.0
2.35,100.0
2.4,100.0
2.45,100.0
2.5,100.0
2.5500002,100.0
2.6000001,100.0
2.65,100.0
2.7,100.0
2.75,100.0
2.8,100.0
2.85,99.4
2.8999999,98.1
2.95,93.9
3.0,90.9
3.05,86.1
3.1,79.5
3.1499999,74.5
3.2,65.7
3.25,54.6
3.3,50.0
3.3500001,46.0
3.4,44.0
3.45,43.9
3.5,44.4
3.55,47.2
3.6,50.9
3.6499999,54.6
3.6999998,63.6
3.75,71.6
3.8,81.1
3.85,91.6
3.8999999,97.2
3.9499998,99.7
4.0,100.0
4.05,100.0
4.1,100.0
4.15,100.0
4.2,100.0
4.25,100.0
4.3,100.0
4.35,100.0
4.4,100.0
4.4500003,100.0
4.5,100.0
4.55,100.0
4.6,100.0
4.65,100.0
4.7000003,100.0
4.75,100.0
4.8,100.0
4.8500004,100.0
4.9,100.0
4.9500003,100.0
5.0,100.0
5.05,100.0
5.1000004,100.0
5.15,100.0
5.2,100.0
5.25,100.0
5.2999997,100.0
5.35,100.0
5.3999996,100.0
5.45,100.0
5.5,100.0
5.5499997,100.0
5.6,100.0
5.65,100.0
5.7,100.0
5.75,100.0
5.7999997,100.0
5.85,100.0
5.9,100.0
5.95,100.0
6.0,100.0
6.05,100.0
6.1,100.0
6.15,100.0
6.2,100.0
6.25,100.0
6.3,100.0
6.35,100.0
6.4,100.0
6.45,99.1
6.5,96.200005
6.55,89.4
6.6,80.2
6.65,74.5
6.7,71.0
6.75,69.8
6.8,69.700005
6.85,71.0
6.9,74.4
6.95,79.5
7.0,85.5
